I
1000 Generated by WorldEditor 2.2.0r2

1    163 1 0 LTBA Istanbul Ataturk
1302 city Istanbul
1302 country Turkey
1302 datum_lat 40.976111111
1302 datum_lon 28.814166667
1302 faa_code 
1302 iata_code IST
1302 icao_code LTBA
1302 region_code LT
1302 state İstanbul Province
1302 transition_alt 10000
1302 transition_level 
1302 flatten 1
100 45.11 2 2 0.20 1 3 1 17R  40.99639215  028.80602700    0   60 3 6 1 1 35L  40.96931384  028.80697862    0   60 3 6 1 1
100 45.11 2 1 0.20 1 3 1 17L  40.99649115  028.80852032    0   60 3 2 1 1 35R  40.96932285  028.80947300    0   60 3 2 1 1
100 60.05 1 0 0.20 1 3 1 05  40.96560681  028.80986572  130   60 3 1 1 1 23  40.97768719  028.83612909    0   60 3 1 1 1
102 H1  40.96759712  028.82862016 330.05 50.00 50.00 2 0 0 0.00 1
102 H2  40.98158104  028.82236190  45.00 50.00 50.00 2 0 0 0.25 1
102 H3  40.98121769  028.82161324  45.00 35.00 35.00 2 0 0 0.25 1
102 H4  40.98096873  028.82196083  45.00 35.00 35.00 2 0 0 0.25 1
110 1 0.25 58.5300 ServiceRoads
111  40.98907078  028.81435272
111  40.98907754  028.81423311 52
111  40.98747298  028.81432455
113  40.98743993  028.81444416 52
110 1 0.25 58.5300 ServiceRoads
111  40.98616678  028.81453131
111  40.98616477  028.81442331 52
111  40.98474312  028.81445993
113  40.98474512  028.81456793 52
110 1 0.25 58.5300 ServiceRoads
111  40.98101907  028.81564587 52
111  40.98061393  028.81527032 52
111  40.98001288  028.81565649 52
111  40.97973373  028.81612915 52
111  40.97961533  028.81629408 52
111  40.97951036  028.81634095 52
111  40.97887352  028.81631675
111  40.97879394  028.81633717 52
111  40.97736881  028.81671300 52
111  40.97728634  028.81671340 52
111  40.97716320  028.81666054 52
111  40.97697632  028.81646583 52
111  40.97692613  028.81639581 52
111  40.97686408  028.81617729 52
111  40.97675842  028.81544030 52
111  40.97673294  028.81528846 52
111  40.97668483  028.81520151 52
111  40.97641909  028.81519103 52
111  40.97623687  028.81524671 52
111  40.97617370  028.81528263 52
111  40.97610711  028.81537200 52
111  40.97607434  028.81552819 52
111  40.97702085  028.82162378 52
111  40.97685147  028.82174501 52
111  40.97686468  028.82183006 52
111  40.97705284  028.82182978 52
111  40.97748257  028.82459729 52
111  40.97763148  028.82491892 52
111  40.97783052  028.82612265 52
111  40.97792166  028.82632914 52
111  40.97799001  028.82647193 52
111  40.97803293  028.82666129 52
111  40.97841774  028.82884043 52
111  40.97850021  028.82902770 52
111  40.97889064  028.83132452 52
111  40.97888876  028.83139511 52
111  40.97885160  028.83143730 52
111  40.97870852  028.83148686 52
111  40.97861894  028.83154419 52
111  40.97850495  028.83167768 52
111  40.97844896  028.83179830 52
111  40.97843723  028.83190820
111  40.97850417  028.83202023 52
